GeneMark.hmm PROKARYOTIC (Version 3.26)
Date: Thu Jul 27 11:16:02 2017
Sequence file name: seq.fna
Model file name: /home/genemark/bin/gmsuite/heu_11.mod
RBS: false

Model information: Heuristic_model_for_genetic_code_11_and_GC_51

FASTA definition line: Chromosome dna:chromosome chromosome:ASM80076v1:Chromosome:1:4558660:1 REF
Predicted genes
   Gene    Strand    LeftEnd    RightEnd       Gene     Class
  450        +      485990      489352         3363        1
  451        -      489564      489725          162        1
  452        -      489739      490266          528        1
  453        +      490336      490713          378        1
  454        +      490866      491417          552        1
  455        +      491546      493477         1932        1
  456        +      493530      493859          330        1
  457        +      493859      494464          606        1
  458        +      494574      496448         1875        1
  459        +      496629      497273          645        1
  460        +      497509      498471          963        1
  461        -      498468      499427          960        1
  462        +      499579      500883         1305        1
  463        -      501016      502692         1677        1
  464        -      502930      504150         1221        1
  465        +      504368      506020         1653        1
  466        -      506057      506536          480        1
  467        -      506740      507534          795        1
  468        +      507618      508013          396        1
  469        -      508329      510833         2505        1
  470        +      511095      512027          933        1
  471        +      512030      513322         1293        1
  472        +      513447      513854          408        1
  473        -      513855      514313          459        1
  474        -      514310      515227          918        1
  475        +      515373      516050          678        1
  476        +      516037      516816          780        1
  477        -      516879      517769          891        1
  478        -      517794      518603          810        1
  479        -      518593      519216          624        1
  480        +      519187      519873          687        1
  481        +      519870      522284         2415        1
  482        +      522715      526995         4281        1
  483        +      527059      527403          345        1
  484        +      527403      528113          711        1
  485        +      528124      528354          231        1
  486        -      529099      529470          372        1
  487        -      529586      530680         1095        1
  488        -      530749      531675          927        1
  489        +      531905      532387          483        1
  490        +      532465      533280          816        1
  491        +      533280      535151         1872        1
  492        +      535191      535940          750        1
  493        +      536040      536918          879        1
  494        +      537087      538541         1455        1
  495        +      538601      539962         1362        1
  496        +      540019      541320         1302        1
  497        +      541342      542487         1146        1
  498        -      542697      543500          804        1
  499        -      543511      544746         1236        1
  500        -      544768      545817         1050        1
  501        +      546134      547801         1668        1
  502        +      547811      549070         1260        1
  503        +      549081      549896          816        1
  504        +      549893      550786          894        1
  505        -      550981      552048         1068        1
  506        -      552045      552554          510        1
  507        -      552672      553394          723        1
  508        -      553397      553891          495        1
  509        +      554065      555450         1386        1
  510        -      555486      556007          522        1
  511        -      556115      556327          213        1
  512        -      556329      557195          867        1
  513        +      557633      558208          576        1
  514        +      558428      559120          693        1
  515        +      559151      561754         2604        1
  516        +      561796      562773          978        1
  517        +      562784      563299          516        1
  518        -      563302      563949          648        1
  519        -      564269      565432         1164        1
  520        -      565552      565815          264        1
  521        +      565929      566141          213        1
  522        +      566296      566595          300        1
  523        +      566592      567458          867        1
  524        +      567516      567701          186        1
  525        +      568356      569882         1527        1
  526        +      570645      570785          141        1
  527        -      571032      571280          249        1
  528        +      571920      572375          456        1
  529        +      572538      572828          291        1
  530        +      572825      573187          363        1
  531        +      573410      573793          384        1
  532        +      573935      574153          219        1
  533        -      574191      575207         1017        1
  534        -      575240      575773          534        1
  535        +      575936      576142          207        1
  536        +      576890      577129          240        1
  537        -      577790      578107          318        1
  538        +      578187      578930          744        1
  539        -      578985      579416          432        1
  540        +      579708      579893          186        1
  541        +      580514      581263          750        1
  542        -      581513      582466          954        1
  543        -      582870      582983          114        1
  544        -      582980      583741          762        1
  545        -      583924      584814          891        1
  546        -      584815      587787         2973        1
  547        -      587774      590011         2238        1
  548        -      590161      591603         1443        1
  549        -      591593      592276          684        1
  550        +      592517      593806         1290        1
  551        +      593964      594296          333        1
  552        +      594312      595535         1224        1
  553        +      595547      598690         3144        1
  554        +      598756      600168         1413        1
  555        -      600249      601496         1248        1
  556        -      601604      602257          654        1
  557        -      602351      602719          369        1
  558        -      602784      603032          249        1
  559        -      603098      604216         1119        1
  560        +      604570      604821          252        1
  561        +      604898      606010         1113        1
  562        -      606292      606921          630        1
  563        -      607087      609327         2241        1
  564        +      609570      610772         1203        1
  565        +      610775      610993          219        1
  566        +      610990      614871         3882        1
  567        +      615087      616220         1134        1
  568        -      616217      617032          816        1
  569        -      617029      618021          993        1
  570        -      618018      619034         1017        1
  571        +      619133      620383         1251        1
  572        -      620387      621343          957        1
  573        +      621718      622893         1176        1
  574        +      622903      624513         1611        1
  575        +      624527      625384          858        1
  576        +      625384      626130          747        1
  577        +      626133      626546          414        1
  578        +      626727      628832         2106        1
  579        +      629015      629212          198        1
  580        -      629222      630310         1089        1
  581        +      630419      631579         1161        1
  582        -      631580      632197          618        1
  583        -      632182      633402         1221        1
  584        -      633549      634451          903        1
  585        -      634660      635466          807        1
  586        +      635778      636341          564        1
  587        +      636556      638151         1596        1
  588        -      638272      638700          429        1
  589        -      638753      639100          348        1
  590        +      639107      640159         1053        1
  591        -      640163      640252           90        1
  592        -      640390      640800          411        1
  593        -      641030      641836          807        1
  594        -      641950      643413         1464        1
  595        -      643464      644336          873        1
  596        -      644317      644868          552        1
  597        -      644872      646446         1575        1
  598        -      646415      647323          909        1
  599        -      647320      647616          297        1
  600        -      647631      648689         1059        1
  601        +      649068      650726         1659        1
  602        +      650695      651375          681        1
  603        -      651416      652801         1386        1
  604        +      653390      653950          561        1
  605        +      654125      654334          210        1
  606        -      654388      654702          315        1
  607        +      654864      655091          228        1
  608        +      655088      655651          564        1
  609        +      655780      655983          204        1
  610        -      656084      657049          966        1
  611        -      657258      658211          954        1
  612        -      658470      659045          576        1
  613        +      659040      659138           99        1
  614        -      659212      659475          264        1
  615        -      659585      660868         1284        1
  616        -      660935      662023         1089        1
  617        -      662034      663146         1113        1
  618        -      663149      665050         1902        1
  619        -      665081      665548          468        1
  620        -      665552      665869          318        1
  621        -      666129      666743          615        1
  622        -      666764      667405          642        1
  623        -      667407      668438         1032        1
  624        -      668438      668923          486        1
  625        -      669034      671757         2724        1
  626        +      671851      672333          483        1
  627        -      672403      673386          984        1
  628        +      673721      674251          531        1
  629        +      674248      675675         1428        1
  630        -      675685      676239          555        1
  631        +      676341      677048          708        1
  632        +      677045      678496         1452        1
  633        -      678556      680226         1671        1
  634        -      680310      681245          936        1
  635        -      681363      682088          726        1
  636        -      682088      682762          675        1
  637        -      682762      683502          741        1
  638        -      683672      684655          984        1
  639        -      684830      685846         1017        1
  640        -      686176      687714         1539        1
  641        -      687739      688617          879        1
  642        -      688707      689174          468        1
  643        -      689171      690250         1080        1
  644        -      690364      691788         1425        1
  645        +      691934      693109         1176        1
  646        +      693795      693947          153        1
  647        -      694346      696082         1737        1
  648        -      696407      697159          753        1
  649        -      697207      698427         1221        1
  650        -      698436      699584         1149        1
  651        -      699644      700444          801        1
  652        +      700777      702723         1947        1
  653        +      702926      704590         1665        1
  654        +      705167      706573         1407        1
  655        +      706623      706949          327        1
  656        +      707009      707365          357        1
  657        -      707768      708298          531        1
  658        -      708438      708800          363        1
  659        -      708871      709635          765        1
  660        +      709820      710365          546        1
  661        +      710391      712031         1641        1
  662        +      712245      712739          495        1
  663        -      712780      713142          363        1
  664        -      713221      713538          318        1
  665        -      713779      715098         1320        1
  666        -      715095      717293         2199        1
  667        +      717416      717673          258        1
  668        -      717889      718566          678        1
  669        -      718563      721247         2685        1
  670        -      721240      721812          573        1
  671        -      721821      723869         2049        1
  672        -      723892      725565         1674        1
  673        +      725967      726173          207        1
  674        +      726416      730609         4194        1
  675        +      730609      730935          327        1
  676        +      731053      732486         1434        1
  677        +      732483      733052          570        1
  678        +      733278      733532          255        1
  679        +      733733      734794         1062        1
  680        +      734925      735686          762        1
  681        -      735915      736247          333        1
  682        +      736340      737758         1419        1
  683        -      737908      739389         1482        1
  684        +      739660      740403          744        1
  685        +      740468      741082          615        1
  686        +      741076      742008          933        1
  687        +      741998      742732          735        1
  688        +      742768      743559          792        1
  689        -      743556      744647         1092        1
  690        -      744754      745815         1062        1
  691        -      745812      746540          729        1
  692        -      746555      748963         2409        1
  693        -      749062      749628          567        1
  694        -      750018      751301         1284        1
  695        +      751995      752399          405        1
  696        +      752393      752740          348        1
  697        +      752740      754506         1767        1
  698        +      754522      755238          717        1
  699        +      755539      758340         2802        1
  700        +      758355      759572         1218        1
  701        +      759847      761013         1167        1
  702        +      761013      761882          870        1
  703        -      761986      762708          723        1
  704        +      762817      764793         1977        1
  705        +      764847      767444         2598        1
  706        +      767469      767696          228        1
  707        +      768288      769859         1572        1
  708        +      769875      771014         1140        1
  709        +      771029      771142          114        1
  710        +      771142      771435          294        1
  711        +      771585      771989          405        1
  712        +      771995      772678          684        1
  713        +      772682      773110          429        1
  714        +      773175      774440         1266        1
  715        +      774570      775865         1296        1
  716        +      775900      776421          522        1
  717        +      776431      777222          792        1
  718        +      778918      779961         1044        1
  719        +      779999      780718          720        1
  720        -      780715      781563          849        1
  721        -      781770      782150          381        1
  722        +      782466      783518         1053        1
  723        -      783676      784428          753        1
  724        -      784630      785670         1041        1
  725        -      785664      786812         1149        1
  726        -      786816      787862         1047        1
  727        -      787872      788930         1059        1
  728        -      789149      790621         1473        1
  729        -      790689      791477          789        1
  730        +      791606      791755          150        1
  731        +      791922      792695          774        1
  732        +      792695      793384          690        1
  733        +      793387      794445         1059        1
  734        -      794446      795366          921        1
  735        +      795419      796414          996        1
  736        -      796455      797408          954        1
