
	    	
EasyGene 1.2 Server - prediction results
Technical University of Denmark

##gff-version 2
##source-version easygene-1.2b
##date 2017-03-29
##Type DNA
# model:  SAM03 Staphylococcus aureus MU50
# seqname		model	feature	start	end	   score       +/-	?	startc	    odds
# --------------------------------------------------------------------------------------------------------------
Chromosome	SAM03	CDS	41151	41297	15.1332	+	0	#TTG	3.4344
Chromosome	SAM03	CDS	41319	41567	7.07708	+	0	#TTG	1.0155
Chromosome	SAM03	CDS	42352	42888	5.48335e-06	+	0	#ATG	32.9912
Chromosome	SAM03	CDS	43180	43404	0.837479	+	0	#ATG	9.9217
Chromosome	SAM03	CDS	43404	43565	11.2069	+	0	#ATG	4.0221
Chromosome	SAM03	CDS	43593	44258	5.18522e-09	+	0	#TTG	48.5595
Chromosome	SAM03	CDS	44403	44753	0.577505	+	0	#ATG	1.9491
Chromosome	SAM03	CDS	47580	47855	5.87616	+	0	#ATG	-0.8506
Chromosome	SAM03	CDS	48333	48929	1.01058e-07	+	0	#GTG	42.7219
Chromosome	SAM03	CDS	48945	49190	33.1073	+	0	#ATG	-6.4267
Chromosome	SAM03	CDS	49376	49642	0.0258051	+	0	#ATG	18.5731
Chromosome	SAM03	CDS	49840	50163	0.176084	+	0	#TTG	9.9832
Chromosome	SAM03	CDS	50572	50724	8.55893	+	0	#TTG	4.9123
Chromosome	SAM03	CDS	50839	51168	0.000302503	+	0	#ATG	28.932
Chromosome	SAM03	CDS	51572	51700	34.6295	+	0	#ATG	1.3594
Chromosome	SAM03	CDS	51863	52357	0.000199536	+	0	#TTG	22.913
Chromosome	SAM03	CDS	52491	52769	0.931142	+	0	#GTG	6.8674
Chromosome	SAM03	CDS	52830	53207	0.574803	+	0	#GTG	-2.0855
Chromosome	SAM03	CDS	53261	53488	54.7088	+	0	#TTG	-6.8537
Chromosome	SAM03	CDS	53735	54568	7.2554e-13	+	0	#GTG	67.7626
Chromosome	SAM03	CDS	54657	55271	8.96532e-08	+	0	#ATG	42.1394
Chromosome	SAM03	CDS	55588	55818	1.9307	+	0	#ATG	7.0862
Chromosome	SAM03	CDS	55963	56478	2.45793e-06	+	0	#GTG	36.7132
Chromosome	SAM03	CDS	56715	56972	5.88517	+	0	#ATG	1.0083
Chromosome	SAM03	CDS	58362	58691	0.00197554	+	0	#ATG	24.0713
Chromosome	SAM03	CDS	58716	59078	5.81755e-05	+	0	#ATG	32.5815
Chromosome	SAM03	CDS	59082	59753	1.10239e-07	+	0	#ATG	37.557
Chromosome	SAM03	CDS	59740	60663	9.39703e-20	+	0	#ATG	106.954
Chromosome	SAM03	CDS	60841	61005	0.0309451	+	0	#ATG	17.545
Chromosome	SAM03	CDS	61014	61406	1.16438	+	0	#ATG	-11.0817
Chromosome	SAM03	CDS	61406	62353	4.25206e-15	+	0	#ATG	77.9628
Chromosome	SAM03	CDS	62495	62785	0.413238	+	0	#GTG	9.0863
Chromosome	SAM03	CDS	62840	63058	7.76748	+	0	#GTG	2.8809
Chromosome	SAM03	CDS	64624	64935	29.661	+	0	#TTG	-23.6085
Chromosome	SAM03	CDS	67650	67916	1.05655	+	0	#ATG	7.1996
Chromosome	SAM03	CDS	68091	68303	16.0125	+	0	#TTG	0.5086
Chromosome	SAM03	CDS	70530	70796	0.114537	+	0	#ATG	14.4345
Chromosome	SAM03	CDS	71076	72572	3.22659e-21	+	0	#ATG	88.0212
Chromosome	SAM03	CDS	72667	73434	2.34324e-08	+	0	#ATG	35.0478
Chromosome	SAM03	CDS	73690	74580	1.81488e-10	+	0	#GTG	43.5691
Chromosome	SAM03	CDS	75085	75393	1.07121	+	0	#TTG	3.7354
Chromosome	SAM03	CDS	75679	75816	57.9725	+	0	#ATG	-0.3112
Chromosome	SAM03	CDS	76078	76572	3.72564e-05	+	0	#ATG	29.022
Chromosome	SAM03	CDS	76582	77637	5.64707e-10	+	0	#GTG	6.9661
Chromosome	SAM03	CDS	78396	79079	2.69769e-08	+	0	#GTG	41.8635
Chromosome	SAM03	CDS	79161	79940	1.57288e-11	+	0	#ATG	60.9324
Chromosome	SAM03	CDS	79995	81035	1.92554e-13	+	0	#TTG	57.7906
Chromosome	SAM03	CDS	82656	84044	1.22375e-21	+	0	#TTG	100.977
Chromosome	SAM03	CDS	84776	85051	1.33338	+	0	#TTG	5.6964
Chromosome	SAM03	CDS	85319	85555	6.36435	+	0	#TTG	2.4272
Chromosome	SAM03	CDS	85652	85942	0.9052	+	0	#GTG	6.0766
Chromosome	SAM03	CDS	88321	88629	3.26506	+	0	#ATG	-1.9038
Chromosome	SAM03	CDS	89617	89823	17.6986	+	0	#ATG	0.5347
Chromosome	SAM03	CDS	89992	90366	1.492e-05	+	0	#TTG	35.7601
Chromosome	SAM03	CDS	90373	90954	2.32632e-07	+	0	#TTG	40.849
Chromosome	SAM03	CDS	91167	91382	34.6248	+	0	#ATG	-3.0693
Chromosome	SAM03	CDS	91731	91919	84.5008	+	0	#ATG	-4.6612
Chromosome	SAM03	CDS	92257	92652	0.0226138	+	0	#TTG	12.2885
Chromosome	SAM03	CDS	92812	93084	51.0072	+	0	#GTG	-15.288
Chromosome	SAM03	CDS	93160	93654	6.09179e-06	+	0	#ATG	34.888
Chromosome	SAM03	CDS	93739	94134	0.0239398	+	0	#ATG	12.0477
Chromosome	SAM03	CDS	94535	95782	1.72434e-15	+	0	#ATG	55.9273
Chromosome	SAM03	CDS	95783	96697	9.53586e-11	+	0	#ATG	43.8599
Chromosome	SAM03	CDS	96752	96955	0.243617	+	0	#ATG	13.6189
Chromosome	SAM03	CDS	96933	98903	3.7119e-30	+	0	#ATG	127.178
Chromosome	SAM03	CDS	99383	101779	2.57454e-34	+	0	#ATG	122.59
Chromosome	SAM03	CDS	103380	104123	1.0868e-06	+	0	#GTG	18.6183
Chromosome	SAM03	CDS	104320	104805	0.0526077	+	0	#ATG	-6.9422
Chromosome	SAM03	CDS	105106	105450	0.0483026	+	0	#TTG	13.3539
Chromosome	SAM03	CDS	105452	106564	2.4535e-14	+	0	#ATG	59.3276
Chromosome	SAM03	CDS	106660	107547	4.15674e-10	+	0	#ATG	40.1445
Chromosome	SAM03	CDS	107653	108009	1.40645	+	0	#TTG	-4.3561
Chromosome	SAM03	CDS	108073	109179	1.69533e-12	+	0	#ATG	39.1125
Chromosome	SAM03	CDS	109262	109675	0.000269277	+	0	#ATG	26.8918
Chromosome	SAM03	CDS	109675	109992	4.39832e-05	+	0	#ATG	33.4543
Chromosome	SAM03	CDS	110077	110355	0.0623059	+	0	#ATG	15.8234
Chromosome	SAM03	CDS	110355	110924	5.84117e-06	+	0	#ATG	30.5086
Chromosome	SAM03	CDS	110917	111129	44.8001	+	0	#ATG	-3.998
Chromosome	SAM03	CDS	111445	111789	0.231666	+	0	#GTG	7.0507
Chromosome	SAM03	CDS	111790	112725	2.44344e-14	+	0	#ATG	73.1142
Chromosome	SAM03	CDS	113009	113626	0.000142509	+	0	#TTG	9.7094
Chromosome	SAM03	CDS	114051	114314	1.60222	+	0	#ATG	5.8501
Chromosome	SAM03	CDS	114331	114798	0.000462128	+	0	#ATG	21.8071
Chromosome	SAM03	CDS	114808	115023	10.6948	+	0	#ATG	1.8728
Chromosome	SAM03	CDS	115216	116874	7.41998e-33	+	0	#ATG	166.391
Chromosome	SAM03	CDS	116926	117396	0.00185823	+	0	#ATG	15.8704
Chromosome	SAM03	CDS	117745	118035	0.114246	+	0	#ATG	13.4897
Chromosome	SAM03	CDS	118028	118342	0.0214378	+	0	#ATG	17.6885
Chromosome	SAM03	CDS	118357	118797	3.23959e-05	+	0	#TTG	32.1393
Chromosome	SAM03	CDS	118781	119410	3.86466e-09	+	0	#ATG	51.138
Chromosome	SAM03	CDS	119480	120187	1.71537e-07	+	0	#ATG	32.5227
Chromosome	SAM03	CDS	121214	121387	5.48453	+	0	#ATG	5.8116
Chromosome	SAM03	CDS	121571	123202	1.39929e-23	+	0	#TTG	97.4688
Chromosome	SAM03	CDS	123254	123523	1.23302	+	0	#ATG	6.4285
Chromosome	SAM03	CDS	124417	125154	1.17779e-08	+	0	#ATG	40.7669
Chromosome	SAM03	CDS	125533	125850	0.0216236	+	0	#ATG	17.5375
Chromosome	SAM03	CDS	125853	126662	2.77745e-08	+	0	#GTG	29.232
Chromosome	SAM03	CDS	126702	127253	0.000101825	+	0	#TTG	20.4571
Chromosome	SAM03	CDS	127279	128712	3.51952e-20	+	0	#ATG	84.2325
Chromosome	SAM03	CDS	128960	129355	0.512784	+	0	#GTG	-4.6928
Chromosome	SAM03	CDS	129348	130295	2.01711e-14	+	0	#ATG	73.0619
Chromosome	SAM03	CDS	130417	131022	6.08774e-05	+	0	#GTG	16.4955
Chromosome	SAM03	CDS	131179	131382	66.2477	+	0	#ATG	-4.9791
Chromosome	SAM03	CDS	131748	132965	3.22065e-18	+	0	#GTG	85.2928
Chromosome	SAM03	CDS	133149	133562	0.00101432	+	0	#ATG	22.6129
Chromosome	SAM03	CDS	133969	134172	19.4638	+	0	#ATG	0.3681
Chromosome	SAM03	CDS	134769	135338	6.52179e-07	+	0	#GTG	38.1672
Chromosome	SAM03	CDS	135338	135553	5.81783	+	0	#ATG	4.0914
Chromosome	SAM03	CDS	135806	136120	0.130715	+	0	#ATG	11.7137
Chromosome	SAM03	CDS	136105	137028	2.52181e-10	+	0	#ATG	38.2089
Chromosome	SAM03	CDS	137381	137521	86.7136	+	0	#ATG	-1.7056
Chromosome	SAM03	CDS	137531	138058	0.000143405	+	0	#TTG	21.362
Chromosome	SAM03	CDS	138112	138867	8.38776e-10	+	0	#ATG	49.2002
Chromosome	SAM03	CDS	139060	139293	0.0355496	+	0	#GTG	18.1493
Chromosome	SAM03	CDS	139547	140026	3.00821e-05	+	0	#TTG	30.5917
Chromosome	SAM03	CDS	140040	140273	50.5904	+	0	#ATG	-7.2382
Chromosome	SAM03	CDS	140466	141266	2.77084e-10	+	0	#TTG	49.9518
Chromosome	SAM03	CDS	141367	141669	0.0112833	+	0	#ATG	19.98
Chromosome	SAM03	CDS	142081	142554	0.00175129	+	0	#TTG	15.83
Chromosome	SAM03	CDS	142563	143096	0.000455506	+	0	#ATG	15.4633
Chromosome	SAM03	CDS	143193	143318	27.2392	+	0	#ATG	2.0289
Chromosome	SAM03	CDS	143311	143514	3.02897	+	0	#ATG	6.742
Chromosome	SAM03	CDS	143602	143955	1.67633	+	0	#TTG	-5.0251
Chromosome	SAM03	CDS	143936	144676	4.79022e-08	+	0	#ATG	34.7101
Chromosome	SAM03	CDS	144973	146136	7.5854e-16	+	0	#ATG	68.9297
Chromosome	SAM03	CDS	146287	146667	0.0170067	+	0	#ATG	14.6807
Chromosome	SAM03	CDS	146791	147198	0.00492935	+	0	#TTG	17.3669
Chromosome	SAM03	CDS	147379	147807	0.00304031	+	0	#GTG	17.603
Chromosome	SAM03	CDS	148239	148436	50.4862	+	0	#ATG	-3.1277
Chromosome	SAM03	CDS	148536	148958	0.00547158	+	0	#GTG	15.7631
Chromosome	SAM03	CDS	149199	149360	75.8367	+	0	#ATG	-2.2146
Chromosome	SAM03	CDS	149745	150968	1.70757e-16	+	0	#GTG	69.3305
Chromosome	SAM03	CDS	151035	151328	17.0197	+	0	#TTG	-10.3964
Chromosome	SAM03	CDS	151306	152298	8.17097e-11	+	0	#ATG	34.6172
Chromosome	SAM03	CDS	152443	152721	1.38719	+	0	#ATG	5.309
Chromosome	SAM03	CDS	153262	153771	0.0112415	+	0	#TTG	0.2456
Chromosome	SAM03	CDS	154999	155436	0.000424327	+	0	#ATG	24.1602
Chromosome	SAM03	CDS	155444	156223	4.4597e-07	+	0	#ATG	18.0472
Chromosome	SAM03	CDS	156241	156576	0.0625317	+	0	#TTG	13.0151
Chromosome	SAM03	CDS	156566	157858	1.63513e-15	+	0	#ATG	49.8438
Chromosome	SAM03	CDS	158023	158247	33.4805	+	0	#ATG	-3.8384
Chromosome	SAM03	CDS	158299	158604	5.01206	+	0	#TTG	-3.9897
Chromosome	SAM03	CDS	159798	160100	0.000593288	+	0	#ATG	27.5464
Chromosome	SAM03	CDS	160963	161391	0.00174258	+	0	#ATG	19.7232
Chromosome	SAM03	CDS	161458	161856	0.0696726	+	0	#ATG	6.8409
Chromosome	SAM03	CDS	161902	162435	2.27501e-06	+	0	#ATG	36.0668
Chromosome	SAM03	CDS	162422	163237	3.26821e-07	+	0	#GTG	13.3201
Chromosome	SAM03	CDS	163591	165387	1.33589e-26	+	0	#ATG	110.254
Chromosome	SAM03	CDS	165471	167129	7.46093e-22	+	0	#ATG	75.6517
Chromosome	SAM03	CDS	167329	167556	10.5114	+	0	#ATG	1.0876
Chromosome	SAM03	CDS	167985	168230	3.44143	+	0	#TTG	4.1796
Chromosome	SAM03	CDS	169472	169564	22.1019	+	0	#ATG	2.1186
Chromosome	SAM03	CDS	169591	169815	22.1564	+	0	#GTG	-1.8679
Chromosome	SAM03	CDS	174090	174200	82.3686	+	0	#GTG	-0.8968
Chromosome	SAM03	CDS	175488	175667	58.0382	+	0	#ATG	-2.3094
Chromosome	SAM03	CDS	175967	176257	0.142663	+	0	#TTG	12.768
Chromosome	SAM03	CDS	176330	177181	4.32682e-10	+	0	#TTG	43.7912
Chromosome	SAM03	CDS	177335	177556	82.7733	+	0	#GTG	-8.4945
Chromosome	SAM03	CDS	177584	178276	9.26074e-06	+	0	#TTG	14.0161
Chromosome	SAM03	CDS	178490	179068	8.98292e-06	+	0	#GTG	28.1237
Chromosome	SAM03	CDS	179313	179834	6.07678e-08	+	0	#TTG	47.0262
Chromosome	SAM03	CDS	179877	180266	0.027971	+	0	#TTG	11.9389
Chromosome	SAM03	CDS	180429	180746	0.000352357	+	0	#GTG	28.6829
Chromosome	SAM03	CDS	180878	181018	5.23332	+	0	#TTG	6.2005
Chromosome	SAM03	CDS	181005	182864	1.56569e-34	+	0	#ATG	169.324
Chromosome	SAM03	CDS	182851	183189	0.0270535	+	0	#ATG	15.776
Chromosome	SAM03	CDS	183214	183639	0.0626225	+	0	#ATG	3.8149
Chromosome	SAM03	CDS	184053	184862	3.05159e-09	+	0	#ATG	39.6286
Chromosome	SAM03	CDS	185592	185915	0.00795056	+	0	#ATG	20.317
Chromosome	SAM03	CDS	186142	186789	0.000488185	+	0	#TTG	-8.0931
Chromosome	SAM03	CDS	187012	187263	18.4949	+	0	#TTG	-3.929
Chromosome	SAM03	CDS	187539	187793	1.9765	+	0	#ATG	5.6656
Chromosome	SAM03	CDS	188007	188471	8.98704e-05	+	0	#ATG	27.8205
Chromosome	SAM03	CDS	188799	189326	2.62713e-05	+	0	#ATG	28.05
Chromosome	SAM03	CDS	189546	189638	48.7402	+	0	#ATG	0.3222
Chromosome	SAM03	CDS	190046	190366	1.07778	+	0	#ATG	2.4185
Chromosome	SAM03	CDS	190406	190747	1.89661	+	0	#ATG	-3.7023
Chromosome	SAM03	CDS	190862	191143	0.0107241	+	0	#ATG	20.6039
Chromosome	SAM03	CDS	191143	191778	5.93401e-07	+	0	#ATG	34.0065
Chromosome	SAM03	CDS	191782	192102	0.0739774	+	0	#ATG	13.3576
Chromosome	SAM03	CDS	192102	192959	3.18941e-09	+	0	#ATG	33.9626
Chromosome	SAM03	CDS	192959	193222	0.609418	+	0	#ATG	9.3052
Chromosome	SAM03	CDS	193297	193659	0.233712	+	0	#GTG	5.0973
Chromosome	SAM03	CDS	194124	194468	0.731661	+	0	#TTG	1.4682
Chromosome	SAM03	CDS	194687	194860	70.52	+	0	#ATG	-2.6796
Chromosome	SAM03	CDS	194890	195084	0.590184	+	0	#ATG	11.4708
Chromosome	SAM03	CDS	195492	195716	8.89081	+	0	#ATG	1.9745
Chromosome	SAM03	CDS	195765	196121	0.000270892	+	0	#ATG	28.7587
Chromosome	SAM03	CDS	196121	196447	0.310335	+	0	#ATG	7.4591
Chromosome	SAM03	CDS	196453	196743	6.52968	+	0	#ATG	-3.3358
Chromosome	SAM03	CDS	197177	197602	0.227681	+	0	#ATG	-4.8363
Chromosome	SAM03	CDS	197609	198070	0.00258223	+	0	#ATG	15.3238
Chromosome	SAM03	CDS	198378	198512	32.4763	+	0	#GTG	1.4662
Chromosome	SAM03	CDS	198748	199152	0.000432424	+	0	#ATG	25.8322
Chromosome	SAM03	CDS	199158	199610	0.0568675	+	0	#ATG	-0.0872
Chromosome	SAM03	CDS	199979	201037	4.24218e-10	+	0	#ATG	8.9644
Chromosome	SAM03	CDS	201031	201675	4.85847e-06	+	0	#ATG	24.2221
Chromosome	SAM03	CDS	201678	202424	3.4079e-09	+	0	#ATG	44.7745
Chromosome	SAM03	CDS	202760	203017	7.63108	+	0	#ATG	-0.1745
Chromosome	SAM03	CDS	203515	203844	1.84596	+	0	#ATG	-1.6294
Chromosome	SAM03	CDS	203962	204501	0.000373397	+	0	#ATG	15.7151
Chromosome	SAM03	CDS	204565	204885	1.10799	+	0	#GTG	2.2822
Chromosome	SAM03	CDS	204872	205684	4.32175e-08	+	0	#ATG	26.4702
Chromosome	SAM03	CDS	205681	206595	6.30622e-10	+	0	#GTG	34.7334
Chromosome	SAM03	CDS	206588	206923	13.2569	+	0	#ATG	-21.4179
Chromosome	SAM03	CDS	207080	207394	19.0586	+	0	#ATG	-17.6059
Chromosome	SAM03	CDS	207545	207850	0.43586	+	0	#GTG	7.8138
Chromosome	SAM03	CDS	208428	208577	29.6873	+	0	#ATG	1.4264
Chromosome	SAM03	CDS	208567	209211	1.97925e-05	+	0	#ATG	17.105
Chromosome	SAM03	CDS	209239	209598	0.0587754	+	0	#TTG	11.478
Chromosome	SAM03	CDS	209674	210318	4.79967e-05	+	0	#ATG	11.9273
Chromosome	SAM03	CDS	210391	211140	2.61043e-05	+	0	#GTG	-10.2784
Chromosome	SAM03	CDS	211444	212070	5.63846e-05	+	0	#ATG	13.8759
Chromosome	SAM03	CDS	212095	212259	77.4541	+	0	#ATG	-2.47
Chromosome	SAM03	CDS	212365	213549	9.14644e-16	+	0	#TTG	66.1151
Chromosome	SAM03	CDS	213648	213935	0.862594	+	0	#GTG	6.5032
Chromosome	SAM03	CDS	214419	214571	34.55	+	0	#TTG	0.8714
Chromosome	SAM03	CDS	215651	215881	40.7758	+	0	#ATG	-5.5825
Chromosome	SAM03	CDS	216190	216366	11.0972	+	0	#TTG	3.6475
Chromosome	SAM03	CDS	216406	216678	4.79562	+	0	#GTG	0.467
Chromosome	SAM03	CDS	216761	217090	0.216328	+	0	#ATG	8.6941
Chromosome	SAM03	CDS	217142	217396	7.51517	+	0	#TTG	0.1927
Chromosome	SAM03	CDS	217517	218221	7.4992e-08	+	0	#GTG	36.2753
Chromosome	SAM03	CDS	218300	218518	41.352	+	0	#GTG	-4.2394
Chromosome	SAM03	CDS	218902	219465	0.00233789	+	0	#GTG	0.6042
Chromosome	SAM03	CDS	220401	220598	5.55541	+	0	#ATG	5.0697
Chromosome	SAM03	CDS	220607	221374	2.51535e-06	+	0	#ATG	8.3198
Chromosome	SAM03	CDS	222011	222532	0.00401646	+	0	#ATG	5.0663
Chromosome	SAM03	CDS	222746	223078	3.95156	+	0	#TTG	-7.1707
Chromosome	SAM03	CDS	223178	223360	32.4325	+	0	#ATG	-0.2509
Chromosome	SAM03	CDS	224333	224581	1.36097	+	0	#TTG	7.3592
Chromosome	SAM03	CDS	224978	225904	9.33965e-10	+	0	#ATG	30.8943
Chromosome	SAM03	CDS	227125	227208	44.2675	+	0	#ATG	0.3117
Chromosome	SAM03	CDS	227235	227618	0.0461554	+	0	#GTG	10.3579
Chromosome	SAM03	CDS	227856	229067	1.92845e-13	+	0	#GTG	34.4933
Chromosome	SAM03	CDS	229524	229811	0.731332	+	0	#GTG	7.1477
Chromosome	SAM03	CDS	232282	232842	0.0148293	+	0	#ATG	-20.0315
Chromosome	SAM03	CDS	232891	233034	0.907053	+	0	#ATG	10.2164
Chromosome	SAM03	CDS	233038	233511	0.0220546	+	0	#ATG	2.4442
Chromosome	SAM03	CDS	233800	234444	0.00031561	+	0	#ATG	-2.425
Chromosome	SAM03	CDS	234466	234849	2.15286	+	0	#GTG	-15.0855
Chromosome	SAM03	CDS	234913	235284	1.58547	+	0	#ATG	-8.4253
Chromosome	SAM03	CDS	235517	236062	0.000148726	+	0	#TTG	19.3832
Chromosome	SAM03	CDS	236247	236621	0.594837	+	0	#ATG	-1.7937
Chromosome	SAM03	CDS	237347	237913	2.74717e-08	+	0	#ATG	47.8615
Chromosome	SAM03	CDS	238241	239152	9.51791e-08	+	0	#TTG	-1.4624
Chromosome	SAM03	CDS	239164	239616	0.00267892	+	0	#ATG	16.0349
Chromosome	SAM03	CDS	239659	239817	13.79	+	0	#ATG	3.4868
Chromosome	SAM03	CDS	239827	240195	0.0720243	+	0	#ATG	9.853
Chromosome	SAM03	CDS	240434	242068	3.88116e-19	+	0	#ATG	40.5076
Chromosome	SAM03	CDS	242078	242224	82.4065	+	0	#ATG	-1.7718
Chromosome	SAM03	CDS	242224	242511	11.5653	+	0	#ATG	-6.3979
Chromosome	SAM03	CDS	242557	244569	9.01649e-28	+	0	#GTG	97.5702
Chromosome	SAM03	CDS	246152	247426	1.08395e-14	+	0	#ATG	41.5895
Chromosome	SAM03	CDS	247566	247910	1.7523	+	0	#GTG	-3.6983
Chromosome	SAM03	CDS	250551	250796	9.93256	+	0	#ATG	-0.2105
Chromosome	SAM03	CDS	250808	250996	29.2375	+	0	#GTG	-0.2227
Chromosome	SAM03	CDS	250998	251396	0.00403689	+	0	#ATG	18.7344
Chromosome	SAM03	CDS	252000	252587	3.32745e-06	+	0	#GTG	31.2418
Chromosome	SAM03	CDS	253270	253995	4.09487e-07	+	0	#TTG	26.4668
Chromosome	SAM03	CDS	253979	254602	3.27068e-06	+	0	#ATG	28.1855
Chromosome	SAM03	CDS	254621	255040	0.0253799	+	0	#ATG	9.3231
Chromosome	SAM03	CDS	255125	255592	0.0243855	+	0	#ATG	2.8373
Chromosome	SAM03	CDS	255673	256458	7.32909e-08	+	0	#ATG	27.4177
Chromosome	SAM03	CDS	256468	256761	12.1963	+	0	#ATG	-7.8358
Chromosome	SAM03	CDS	258041	259159	4.29382e-19	+	0	#ATG	97.6848
Chromosome	SAM03	CDS	259177	262329	1.63168e-59	+	0	#ATG	279.313
Chromosome	SAM03	CDS	263104	264045	2.55622e-10	+	0	#TTG	35.7679
Chromosome	SAM03	CDS	264118	264594	0.000375182	+	0	#ATG	21.905
Chromosome	SAM03	CDS	264597	265292	8.06255e-08	+	0	#ATG	36.779
Chromosome	SAM03	CDS	265326	265637	2.21852	+	0	#ATG	-0.1842
Chromosome	SAM03	CDS	265630	266043	0.00567456	+	0	#ATG	16.3625
Chromosome	SAM03	CDS	266783	267091	0.628637	+	0	#TTG	6.0716
Chromosome	SAM03	CDS	267081	268010	9.00893e-09	+	0	#ATG	15.6285
Chromosome	SAM03	CDS	268012	269247	1.11261e-12	+	0	#ATG	14.9218
Chromosome	SAM03	CDS	269250	270140	3.33564e-10	+	0	#ATG	40.8215
Chromosome	SAM03	CDS	270189	270359	34.7585	+	0	#GTG	0.1379
Chromosome	SAM03	CDS	270405	270692	1.85358	+	0	#ATG	3.3181
Chromosome	SAM03	CDS	270909	271874	2.77797e-09	+	0	#GTG	16.6396
Chromosome	SAM03	CDS	271840	273117	7.52824e-16	+	0	#ATG	56.1597
Chromosome	SAM03	CDS	273790	273972	12.5073	+	0	#ATG	3.0509
Chromosome	SAM03	CDS	274282	274653	0.0381434	+	0	#ATG	12.2244
Chromosome	SAM03	CDS	274674	274904	60.3669	+	0	#ATG	-7.8785
Chromosome	SAM03	CDS	274968	275135	4.1627	+	0	#GTG	6.6688
Chromosome	SAM03	CDS	275492	276163	1.31118e-06	+	0	#ATG	27.2653
Chromosome	SAM03	CDS	276167	276628	0.153678	+	0	#ATG	-10.7743
Chromosome	SAM03	CDS	276647	278275	5.96452e-20	+	0	#ATG	55.0696
Chromosome	SAM03	CDS	278399	278812	0.0218613	+	0	#ATG	10.676
